iter	Passed	Remaining
211	130001	483211
212	130665	482788
213	131090	481482
214	131507	480156
215	132293	480176
216	132951	479728
217	133677	479522
218	134170	478480
219	134800	477929
220	135378	477194
221	135936	476390
222	136425	475347
223	136877	474184
224	137712	474342
225	138530	474435
226	139151	473852
227	139730	473122
228	140273	472274
229	140779	471303
230	141579	471320
231	142108	470429
232	142758	469938
233	143181	468706
234	143917	468498
235	144310	467175
236	144759	466041
237	145214	464931
238	145961	464755
239	146629	464326
240	147396	464206
241	148071	463795
242	148493	462590
243	149032	461755
244	149664	461210
245	150327	460759
246	150942	460161
247	151607	459711
248	152323	459417
249	152844	458534
250	153528	458138
251	154548	458738
252	155289	458502
253	156333	459154
254	157220	459329
255	157989	459156
256	158452	458094
257	159166	457756
258	159848	457326
259	160481	456755
260	161067	456049
261	161843	455878
262	162481	455318
263	163085	454662
264	163600	453758
265	164260	453259
266	164771	452349
267	165187	451183
268	166007	451120
269	166512	450201
270	167231	449860
271	167881	449328
272	168520	448771
273	169203	448326
274	169815	447695
275	170461	447152
276	171198	446847
277	171893	446427
278	172433	445606
279	172946	444720
280	173592	444174
281	174331	443864
282	175074	443563
283	175505	442471
284	176186	442012
285	176790	441358
286	177395	440706
287	178024	440115
288	178532	439227
289	179063	438395
290	179620	437630
291	180268	437089
292	181067	436909
293	181651	436210
294	182302	435671
295	182865	434923
296	183644	434687
297	184124	433742
298	184678	432974
299	185060	431807
300	185605	431023
301	186253	430480
302	186779	429653
303	187371	428981
304	187788	427910
305	188273	426999
306	188741	426050
307	189285	425277
308	189942	424758
309	190648	424346
310	191307	423830
311	192002	423390
312	192532	422587
313	193258	422215
314	193995	421863
315	194507	421022
316	195117	420395
317	195872	420079
318	196576	419650
319	197335	419338
320	198188	419220
321	198858	418714
322	199725	418619
323	200363	418042
324	200802	417052
325	201439	416474
326	202095	415934
327	202617	415119
328	203302	414638
329	203968	414117
330	204580	413488
331	205299	413071
332	206254	413127
333	207115	412991
334	208031	412957
335	208895	412816
336	209395	411956
337	210182	411660
338	210742	410916
339	211344	410256
340	211988	409677
341	212410	408672
342	212926	407851
343	213780	407673
344	214295	406851
345	215052	406487
346	215695	405906
347	216528	405679
348	217140	405038
349	217901	404674
350	218551	404103
351	218991	403143
352	219518	402347
353	220311	402037
354	220999	401534
355	221703	401059
356	222488	400729
357	223132	400142
358	224148	400220
359	224703	399473
360	225245	398703
361	225845	398036
362	226408	397305
363	227082	396770
364	227650	396049
365	228094	395114
366	228668	394405
367	229243	393700
368	229930	393186
369	230631	392697
370	231147	391891
371	231670	391099
372	232300	390488
373	233055	390086
374	233708	389514
375	234160	388607
376	234673	387802
377	235335	387244
378	235908	386541
379	236514	385892
380	237161	385309
381	238084	385173
382	238967	384967
383	239610	384375
384	239992	383364
385	240744	382946
386	241583	382662
387	242265	382130
388	242865	381467
389	243504	380866
390	244465	380766
391	245204	380316
392	245717	379518
393	246408	378994
394	247385	378907
395	247984	378238
396	248949	378127
397	249478	377352
398	250087	376698
399	250715	376073
400	251268	375335
401	252039	374924
402	252626	374238
403	253134	373435
404	253581	372545
405	254092	371751
406	254546	370875
407	255347	370503
408	256053	369993
409	256790	369527
410	257231	368635
411	257610	367657
412	258273	367086
413	258927	366501
414	259444	365723
415	259855	364796
416	260350	363990
417	261100	363541
418	261582	362719
419	262089	361933
420	263048	361769
421	263649	361112
422	264313	360541
423	264984	359979
424	265548	359271
425	266244	358742
426	267141	358482
427	267823	357932
428	268381	357216
429	269117	356736
430	269810	356200
431	270676	355889
432	271096	354992
433	271871	354560
434	272706	354205
435	273317	353557
436	273934	352918
437	274341	352009
438	274882	351274
439	275492	350626
440	276229	350140
441	276876	349540
442	277602	349040
443	278200	348377
444	278664	347548
445	279251	346872
446	279802	346153
447	280413	345510
448	281083	344937
449	281581	344154
450	282260	343594
451	282812	342878
452	283335	342129
453	283854	341375
454	284635	340937
455	285369	340441
456	286238	340104
457	286997	339634
458	287766	339175
459	288535	338715
460	289151	338074
461	289681	337335
462	290241	336630
463	290750	335866
464	291515	335399
465	292267	334915
466	292728	334099
467	293337	333452
468	293859	332706
469	294762	332391
470	296659	333191
471	297638	332952
472	298477	332553
473	299280	332112
474	299802	331361
475	300921	331266
476	303082	332310
477	304780	332835
478	305814	332629
479	307509	333135
480	308800	333196
481	310296	333472
482	311623	333559
483	312727	333403
484	314819	334292
485	317038	335303
486	317585	334541
487	318640	334311
488	319830	334219
489	320413	333491
490	321340	333120
491	321898	332366
492	322722	331886
493	324431	332312
494	325558	332134
495	327445	332726
496	328239	332201
497	329504	332151
498	330159	331482
499	331010	331010
500	332100	330774
501	332933	330280
502	334460	330471
503	335234	329913
504	336831	330161
505	338133	330114
506	339649	330270
507	340762	330029
508	341554	329476
509	342256	328834
510	342906	328143
511	344727	328568
512	346126	328584
513	346984	328082
514	347811	327550
515	348269	326671
516	348844	325902
517	349471	325183
518	349953	324330
519	351440	324406
520	352844	324400
521	354214	324357
522	355120	323885
523	355717	323132
524	357126	323114
525	357967	322579
526	358886	322112
527	359639	321495
528	360249	320751
529	361025	320154
530	361868	319616
531	362806	319160
532	364759	319591
533	365857	319269
534	367161	319121
