iter	RMSE
355	157.0407862
356	157.0315594
357	157.0243433
358	157.0187066
359	157.0137841
360	157.0084671
361	156.9985227
362	156.9940061
363	156.9904794
364	156.9858494
365	156.9806795
366	156.9737752
367	156.9647392
368	156.956911
369	156.9533604
370	156.9431506
371	156.9381776
372	156.929448
373	156.9198075
374	156.9122505
375	156.9120934
376	156.9085049
377	156.8996805
378	156.8773088
379	156.8717842
380	156.8660235
381	156.8598553
382	156.8531342
383	156.8470089
384	156.8407352
385	156.8318638
386	156.8200063
387	156.8100346
388	156.7959429
389	156.7892255
390	156.7835713
391	156.7750097
392	156.7711074
393	156.7643281
394	156.7613907
395	156.7526669
396	156.7466349
397	156.7435023
398	156.7402868
399	156.73406
400	156.7319277
401	156.7249777
402	156.7145075
403	156.7068713
404	156.7037249
405	156.700141
406	156.697972
407	156.6827817
408	156.6771247
409	156.6687727
410	156.6641174
411	156.657495
412	156.653796
413	156.652129
414	156.6496569
415	156.6478687
416	156.6449705
417	156.6395395
418	156.6367286
419	156.6339035
420	156.6251006
421	156.6175406
422	156.612756
423	156.6030902
424	156.5932476
425	156.5864473
426	156.5790631
427	156.5706183
428	156.5689784
429	156.5645573
430	156.5583379
431	156.5528006
432	156.5480792
433	156.5450432
434	156.5389948
435	156.5345053
436	156.5265596
437	156.522387
438	156.5176582
439	156.5146753
440	156.5076621
441	156.5042469
442	156.5005084
443	156.491481
444	156.4889548
445	156.484164
446	156.4792823
447	156.4748589
448	156.4707729
449	156.4679463
450	156.4657248
451	156.461443
452	156.4575385
453	156.4531291
454	156.4489274
455	156.4456464
456	156.4381384
457	156.430333
458	156.4225953
459	156.4139552
460	156.4096639
461	156.404306
462	156.401229
463	156.3938413
464	156.3881861
465	156.3802838
466	156.3779239
467	156.3718799
468	156.3668876
469	156.3582664
470	156.3545455
471	156.3485917
472	156.3408053
473	156.3376632
474	156.3364271
475	156.3322981
476	156.325364
477	156.3216849
478	156.3164091
479	156.3105106
480	156.3054371
481	156.2999118
482	156.2944577
483	156.2907632
484	156.2850009
485	156.2831298
486	156.2819654
487	156.2745238
488	156.2687421
489	156.2639605
490	156.2603001
491	156.2589154
492	156.2562871
493	156.2502927
494	156.2479388
495	156.2451998
496	156.24125
497	156.233873
498	156.2312577
499	156.2290763
500	156.2260736
501	156.2235015
502	156.2152485
503	156.2111439
504	156.2073201
505	156.2033249
506	156.1965288
507	156.1949565
508	156.1925184
509	156.1880938
510	156.18187
511	156.177951
512	156.1734798
513	156.1724367
514	156.167372
515	156.1633696
516	156.1604025
517	156.155255
518	156.154371
519	156.1508145
520	156.1470238
521	156.1452109
522	156.1425795
523	156.1404095
524	156.1336242
525	156.1301474
526	156.1265191
527	156.1245499
528	156.1229914
529	156.1201372
530	156.1141675
531	156.1056583
532	156.1044726
533	156.1015873
534	156.0985487
